"DOC_ID","CATEGORY","TITLE","CONTENT","REGION","PORT_CODE","TO_VARCHAR(EFFECTIVE_DATE, 'YYYY-MM-DD')","TO_VARCHAR(EXPIRY_DATE, 'YYYY-MM-DD')","TAGS"
"DOC-0001","POLICY","Euro-Med Shipping Demurrage and Detention Policy — Mediterranean Ports","Euro-Med Shipping Demurrage and Detention Policy for Mediterranean Ports

Effective Date: January 1, 2026

1. SCOPE
This policy applies to all import and export containers handled through Euro-Med Shipping services at Mediterranean ports including Marseille, Fos-sur-Mer, Valencia, Algeciras, Genoa, Gioia Tauro, Piraeus, Tanger Med, Marsaxlokk, Haifa, and Bejaia.

2. DEFINITIONS
- Demurrage: Charges for the use of container within the port terminal beyond the allowed free time.
- Detention: Charges for the use of container outside the port terminal beyond the allowed free time.

3. FREE TIME ALLOWANCE (IMPORT)
- Standard Dry Containers (20GP/40GP/40HC): 7 calendar days from vessel discharge.
- Reefer Containers: 4 calendar days from vessel discharge.
- Gold Tier Customers: Additional 3 days free time on all container types.
- Silver Tier Customers: Additional 2 days free time on dry containers only.

4. FREE TIME ALLOWANCE (EXPORT)
- Standard Dry Containers: 10 calendar days before vessel loading.
- Reefer Containers: 7 calendar days before vessel loading.

5. DEMURRAGE CHARGES (per container per day after free time)
- Days 1-5: EUR 75 for 20GP, EUR 150 for 40GP/40HC, EUR 200 for Reefer.
- Days 6-10: EUR 125 for 20GP, EUR 250 for 40GP/40HC, EUR 350 for Reefer.
- Days 11+: EUR 200 for 20GP, EUR 400 for 40GP/40HC, EUR 500 for Reefer.

6. DETENTION CHARGES (per container per day after free time)
- Days 1-7: EUR 50 for 20GP, EUR 100 for 40GP/40HC, EUR 150 for Reefer.
- Days 8-14: EUR 100 for 20GP, EUR 200 for 40GP/40HC, EUR 300 for Reefer.
- Days 15+: EUR 175 for 20GP, EUR 350 for 40GP/40HC, EUR 450 for Reefer.

7. COMBINED DEMURRAGE AND DETENTION
Where both demurrage and detention apply, charges are cumulative.

8. DISPUTES AND WAIVERS
Claims for demurrage/detention waivers must be submitted within 30 days of the invoice date. Supporting documentation including proof of customs holds, force majeure events, or Euro-Med Shipping service failures must be provided. Gold Tier customers may receive automatic waivers for the first 2 days of excess demurrage upon request.

9. PAYMENT TERMS
All demurrage and detention invoices are payable within 14 days of issue. Late payments incur interest at 1.5% per month.","Mediterranean","\N","2025-11-19","\N","demurrage,detention,free time,charges,policy"
"DOC-0002","POLICY","Euro-Med Shipping Reefer Container Policy and Guidelines","Euro-Med Shipping Reefer Container Policy and Guidelines

Effective Date: January 1, 2026

1. SCOPE
This policy governs the booking, handling, and transport of temperature-controlled (reefer) containers on all Euro-Med Shipping Europe-Mediterranean services.

2. BOOKING REQUIREMENTS
- Reefer bookings must be confirmed at least 72 hours before vessel cut-off.
- Required information: commodity type, required temperature (Celsius), ventilation settings (CBM/hour), humidity control requirements, and genset requirements for inland transport.
- Hazardous reefer cargo requires additional DG declaration (see Hazardous Cargo SOP).

3. TEMPERATURE RANGES
- Frozen cargo: -25C to -18C
- Chilled cargo: -5C to +5C
- Controlled atmosphere: +8C to +25C
- Euro-Med Shipping reefer units can maintain temperatures from -35C to +30C.

4. PRE-TRIP INSPECTION (PTI)
All reefer containers undergo mandatory PTI before stuffing. PTI checks include thermostat calibration, refrigeration unit operation, door seal integrity, and interior cleanliness. PTI certificates are available upon request.

5. MONITORING
Euro-Med Shipping provides real-time temperature monitoring via the TRAXENS IoT platform for all reefer containers. Temperature alerts are sent to the booking contact when deviations exceed +/- 2C from the set point. Customers can access monitoring data through the MyShipping portal.

6. POWER SUPPLY
- At terminal: Continuous shore power supply guaranteed.
- On vessel: Dedicated reefer plugs with backup power.
- If genset is required for inland transport, it must be arranged by the customer unless Euro-Med Shipping inland services are booked.

7. CLAIMS
Temperature deviation claims must be filed within 21 days of container delivery. Claims must include temperature logs, PTI certificate, and cargo inspection report. Euro-Med Shipping liability is limited to the cargo value or USD 500 per package, whichever is less, unless a higher value has been declared.

8. SURCHARGES
Reefer surcharge applies to all reefer bookings: EUR 450 per 40-foot reefer container for Europe-Mediterranean routes. Genset fuel surcharge applies when Euro-Med Shipping provides genset services for inland transport.","GLOBAL","\N","2025-12-12","\N","reefer,temperature,cold chain,monitoring,surcharge"
"DOC-0003","POLICY","Euro-Med Shipping Bill of Lading Terms and Conditions","Euro-Med Shipping Bill of Lading Terms and Conditions

Effective Date: January 1, 2026

1. DEFINITIONS
The 'Carrier' means Euro-Med Shipping SA and any vessel, sub-contractor, or agent acting on behalf of Euro-Med Shipping. The 'Merchant' includes the shipper, consignee, holder of the Bill of Lading, and any party with an interest in the cargo.

2. CARRIER LIABILITY
Euro-Med Shipping liability for loss or damage to cargo is governed by the Hague-Visby Rules as amended by the SDR Protocol of 1979. Maximum liability: 666.67 SDR per package or 2 SDR per kilogram of gross weight, whichever is higher, unless a higher value is declared before shipment and noted on the Bill of Lading.

3. TIME BAR
Any claim against the Carrier must be brought within 1 year from the date of delivery of the goods or the date when the goods should have been delivered.

4. JURISDICTION
All disputes shall be determined by the Commercial Court of Marseille, France, and governed by French law, unless otherwise agreed in writing.

5. FREIGHT
Freight is deemed fully earned upon receipt of cargo by the Carrier and is non-refundable. The Carrier has a lien on the goods for freight, charges, and expenses.

6. DANGEROUS GOODS
The Merchant must declare any dangerous or hazardous cargo in accordance with the IMDG Code. Failure to declare may result in the cargo being unloaded, destroyed, or rendered harmless at the Merchant's risk and expense.

7. CONTAINER PACKING
When a container is packed by or on behalf of the Merchant, the Carrier shall not be liable for loss or damage to the cargo caused by improper packing, stowage, or securing within the container.

8. DEVIATION
The Carrier may deviate from the intended route for any reasonable purpose including saving life, property, or for any commercial reason. Such deviation shall not be considered a breach of contract.

9. ELECTRONIC DOCUMENTATION
Euro-Med Shipping supports electronic Bills of Lading via the WAVE BL and Bolero platforms. Electronic documents have the same legal validity as paper originals when processed through approved platforms.","GLOBAL","\N","2025-11-09","\N","bill of lading,liability,terms,conditions,legal"
"DOC-0004","POLICY","Euro-Med Shipping Service Level Agreement — Gold Tier Customers","Euro-Med Shipping Service Level Agreement for Gold Tier Customers

Effective Date: January 1, 2026

1. ELIGIBILITY
Gold Tier status is granted to customers with annual freight spend exceeding EUR 500,000 on Euro-Med Shipping services or minimum 200 TEU per quarter.

2. TRANSIT TIME GUARANTEE
Euro-Med Shipping guarantees published transit times for Gold Tier customers on Europe-Mediterranean routes. If actual transit exceeds published transit by more than 48 hours (excluding force majeure), the customer is entitled to a freight credit:
- Delay 48-96 hours: 5% freight credit on affected shipment.
- Delay 96-168 hours: 10% freight credit on affected shipment.
- Delay >168 hours: 15% freight credit on affected shipment.

3. EQUIPMENT AVAILABILITY
Priority container allocation for Gold Tier customers. Equipment requests will be fulfilled within 48 hours of booking confirmation. If equipment is unavailable within 48 hours, Euro-Med Shipping will provide a substitute at no additional cost.

4. BOOKING PRIORITY
Gold Tier bookings receive priority loading. Roll-over rate target: less than 2% of confirmed bookings per quarter.

5. DEDICATED SUPPORT
- Assigned key account manager.
- Priority access to customer service (target response time: 4 business hours).
- Quarterly business reviews with performance reporting.

6. FREE TIME EXTENSIONS
- Additional 3 days free time for demurrage on all container types at all Mediterranean ports.
- Additional 2 days free time for detention.

7. CLAIMS PROCESSING
Priority claims processing with target resolution within 14 business days. Automatic demurrage waivers for the first 2 days of excess when caused by Euro-Med Shipping operational issues.

8. REPORTING
Monthly performance dashboards including: on-time delivery rate, average transit time, booking confirmation rate, equipment availability, and claims summary.

9. SLA REVIEW
SLA terms are reviewed annually. Euro-Med Shipping reserves the right to adjust tier status based on volume commitments.","GLOBAL","\N","2025-11-13","\N","SLA,gold tier,transit guarantee,claims,service level"
"DOC-0005","POLICY","Euro-Med Shipping Cargo Insurance Policy Summary","Euro-Med Shipping Cargo Insurance Policy Summary

Euro-Med Shipping offers optional cargo insurance through its SERENITY product line covering door-to-door shipments on Europe-Mediterranean routes.

COVERAGE OPTIONS:
1. SERENITY Basic: Covers total loss of cargo due to vessel sinking, fire, or collision. Coverage limit: invoice value of goods. Premium: 0.15% of declared cargo value, minimum EUR 50.

2. SERENITY Plus: Covers total and partial loss including water damage, theft, and handling damage. Coverage limit: 110% of invoice value. Premium: 0.35% of declared cargo value, minimum EUR 100.

3. SERENITY Premium: All-risk coverage including war risk, strikes, and delay-related spoilage for reefer cargo. Coverage limit: 120% of invoice value plus freight costs. Premium: 0.55% of declared cargo value, minimum EUR 200.

CLAIMS PROCEDURE:
1. Notify Euro-Med Shipping within 3 working days of delivery for visible damage, or within 21 days for concealed damage.
2. Submit claim form with supporting documentation: Bill of Lading, commercial invoice, packing list, survey report, and photographs.
3. Claims are processed within 30 business days.

EXCLUSIONS:
Inherent vice, insufficient packing, delay (except SERENITY Premium), sanctions, nuclear events, and pre-existing damage.","GLOBAL","\N","2025-11-13","\N","insurance,cargo,coverage,claims,SERENITY"
"DOC-0006","POLICY","Euro-Med Shipping Free Time and Demurrage Schedule — Port of Marseille","Euro-Med Shipping Free Time and Demurrage Schedule for the Port of Marseille, France

Effective Date: January 1, 2026

FREE TIME (IMPORT):
- 20GP/40GP/40HC: 10 calendar days from vessel discharge.
- Reefer: 7 calendar days from vessel discharge.
- Gold Tier: +3 additional days. Silver Tier: +2 additional days (dry only).

FREE TIME (EXPORT):
- 20GP/40GP/40HC: 13 calendar days before vessel loading.
- Reefer: 10 calendar days before vessel loading.

DEMURRAGE (per container/day after free time, EUR):
- 20GP: Days 1-5: 83, Days 6-10: 134, Days 11+: 175.
- 40GP/40HC: Days 1-5: 157, Days 6-10: 247, Days 11+: 354.
- Reefer: Days 1-5: 181, Days 6-10: 311, Days 11+: 477.

DETENTION (per container/day, EUR):
- 20GP: Days 1-7: 47, Days 8-14: 106, Days 15+: 188.
- 40GP/40HC: Days 1-7: 81, Days 8-14: 215, Days 15+: 325.

LOCAL PORT CONTACTS:
- Terminal operations: ops-frmrs@carrier-ops.com
- Customer service: cs-frmrs@carrier-ops.com
- Emergency (24/7): +75 765 9928","Mediterranean","FRMRS","2025-12-29","\N","demurrage,detention,free time,marseille,port-specific"
"DOC-0007","POLICY","Euro-Med Shipping Free Time and Demurrage Schedule — Port of Valencia","Euro-Med Shipping Free Time and Demurrage Schedule for the Port of Valencia, Spain

Effective Date: January 1, 2026

FREE TIME (IMPORT):
- 20GP/40GP/40HC: 7 calendar days from vessel discharge.
- Reefer: 4 calendar days from vessel discharge.
- Gold Tier: +3 additional days. Silver Tier: +2 additional days (dry only).

FREE TIME (EXPORT):
- 20GP/40GP/40HC: 10 calendar days before vessel loading.
- Reefer: 7 calendar days before vessel loading.

DEMURRAGE (per container/day after free time, EUR):
- 20GP: Days 1-5: 67, Days 6-10: 128, Days 11+: 207.
- 40GP/40HC: Days 1-5: 137, Days 6-10: 271, Days 11+: 350.
- Reefer: Days 1-5: 228, Days 6-10: 320, Days 11+: 539.

DETENTION (per container/day, EUR):
- 20GP: Days 1-7: 53, Days 8-14: 100, Days 15+: 167.
- 40GP/40HC: Days 1-7: 89, Days 8-14: 193, Days 15+: 343.

LOCAL PORT CONTACTS:
- Terminal operations: ops-esvlc@carrier-ops.com
- Customer service: cs-esvlc@carrier-ops.com
- Emergency (24/7): +36 194 7224","Mediterranean","ESVLC","2025-12-18","\N","demurrage,detention,free time,valencia,port-specific"
"DOC-0008","POLICY","Euro-Med Shipping Free Time and Demurrage Schedule — Port of Piraeus","Euro-Med Shipping Free Time and Demurrage Schedule for the Port of Piraeus, Greece

Effective Date: January 1, 2026

FREE TIME (IMPORT):
- 20GP/40GP/40HC: 5 calendar days from vessel discharge.
- Reefer: 3 calendar days from vessel discharge.
- Gold Tier: +3 additional days. Silver Tier: +2 additional days (dry only).

FREE TIME (EXPORT):
- 20GP/40GP/40HC: 8 calendar days before vessel loading.
- Reefer: 6 calendar days before vessel loading.

DEMURRAGE (per container/day after free time, EUR):
- 20GP: Days 1-5: 71, Days 6-10: 122, Days 11+: 208.
- 40GP/40HC: Days 1-5: 136, Days 6-10: 271, Days 11+: 355.
- Reefer: Days 1-5: 226, Days 6-10: 358, Days 11+: 518.

DETENTION (per container/day, EUR):
- 20GP: Days 1-7: 43, Days 8-14: 119, Days 15+: 174.
- 40GP/40HC: Days 1-7: 85, Days 8-14: 215, Days 15+: 337.

LOCAL PORT CONTACTS:
- Terminal operations: ops-grpir@carrier-ops.com
- Customer service: cs-grpir@carrier-ops.com
- Emergency (24/7): +83 743 6925","Eastern Mediterranean","GRPIR","2025-11-10","\N","demurrage,detention,free time,piraeus,port-specific"
"DOC-0009","POLICY","Euro-Med Shipping Free Time and Demurrage Schedule — Port of Port Said","Euro-Med Shipping Free Time and Demurrage Schedule for the Port of Port Said, Egypt

Effective Date: January 1, 2026

FREE TIME (IMPORT):
- 20GP/40GP/40HC: 10 calendar days from vessel discharge.
- Reefer: 7 calendar days from vessel discharge.
- Gold Tier: +3 additional days. Silver Tier: +2 additional days (dry only).

FREE TIME (EXPORT):
- 20GP/40GP/40HC: 13 calendar days before vessel loading.
- Reefer: 10 calendar days before vessel loading.

DEMURRAGE (per container/day after free time, EUR):
- 20GP: Days 1-5: 66, Days 6-10: 104, Days 11+: 172.
- 40GP/40HC: Days 1-5: 162, Days 6-10: 234, Days 11+: 387.
- Reefer: Days 1-5: 185, Days 6-10: 329, Days 11+: 462.

DETENTION (per container/day, EUR):
- 20GP: Days 1-7: 52, Days 8-14: 98, Days 15+: 179.
- 40GP/40HC: Days 1-7: 120, Days 8-14: 233, Days 15+: 346.

LOCAL PORT CONTACTS:
- Terminal operations: ops-egpsd@carrier-ops.com
- Customer service: cs-egpsd@carrier-ops.com
- Emergency (24/7): +40 479 6820","Eastern Mediterranean","EGPSD","2025-12-30","\N","demurrage,detention,free time,port said,port-specific"
"DOC-0010","POLICY","Euro-Med Shipping Free Time and Demurrage Schedule — Port of Rotterdam","Euro-Med Shipping Free Time and Demurrage Schedule for the Port of Rotterdam, Netherlands

Effective Date: January 1, 2026

FREE TIME (IMPORT):
- 20GP/40GP/40HC: 5 calendar days from vessel discharge.
- Reefer: 3 calendar days from vessel discharge.
- Gold Tier: +3 additional days. Silver Tier: +2 additional days (dry only).

FREE TIME (EXPORT):
- 20GP/40GP/40HC: 8 calendar days before vessel loading.
- Reefer: 6 calendar days before vessel loading.

DEMURRAGE (per container/day after free time, EUR):
- 20GP: Days 1-5: 81, Days 6-10: 117, Days 11+: 214.
- 40GP/40HC: Days 1-5: 163, Days 6-10: 261, Days 11+: 359.
- Reefer: Days 1-5: 218, Days 6-10: 321, Days 11+: 518.

DETENTION (per container/day, EUR):
- 20GP: Days 1-7: 63, Days 8-14: 97, Days 15+: 160.
- 40GP/40HC: Days 1-7: 109, Days 8-14: 204, Days 15+: 334.

LOCAL PORT CONTACTS:
- Terminal operations: ops-nlrtm@carrier-ops.com
- Customer service: cs-nlrtm@carrier-ops.com
- Emergency (24/7): +89 755 4598","North Europe","NLRTM","2025-11-11","\N","demurrage,detention,free time,rotterdam,port-specific"
