tower_id,tower_name,region,network_type,capacity_date,total_bandwidth_gbps,used_bandwidth_gbps,available_bandwidth_gbps,utilization_pct,equipment_status,last_maintenance_date,next_scheduled_maintenance,expected_growth_pct,upgrade_recommended,estimated_capacity_exhaustion_date
TWR_KL_001,5G Tower KLCC,Kuala Lumpur,5G,2024-11-01,133.3,82.6,50.7,62.0,Active,2024-09-05,2025-04-05,14.6,False,2026-06-12
TWR_KL_002,5G Tower Bukit Bintang,Kuala Lumpur,5G,2024-11-01,112.4,90.2,22.1,80.3,Degraded,2024-09-25,2025-04-21,21.4,True,2026-02-18
TWR_KL_003,5G Tower Mont Kiara,Kuala Lumpur,5G,2024-11-01,120.4,81.4,39.0,67.6,Active,2024-09-28,2025-03-29,15.3,False,2026-06-01
TWR_KL_004,5G Tower Cheras,Kuala Lumpur,5G,2024-11-01,130.2,94.3,35.8,72.5,Active,2024-08-21,2025-04-11,23.2,False,2025-10-06
TWR_KL_005,4G Tower Ampang,Kuala Lumpur,4G,2024-11-01,59.6,50.8,8.8,85.2,Active,2024-09-06,2025-02-03,14.9,True,2026-04-21
TWR_SEL_001,5G Tower Shah Alam,Selangor,5G,2024-11-01,117.2,84.3,32.9,71.9,Degraded,2024-09-22,2025-02-08,24.8,False,2025-11-23
TWR_SEL_002,5G Tower Petaling Jaya,Selangor,5G,2024-11-01,129.6,80.2,49.4,61.9,Active,2024-09-27,2025-04-04,14.1,False,2025-07-10
TWR_SEL_003,5G Tower Subang Jaya,Selangor,5G,2024-11-01,123.0,92.5,30.5,75.2,Degraded,2024-08-21,2025-03-19,21.6,False,2025-09-13
TWR_SEL_004,4G Tower Klang,Selangor,4G,2024-11-01,63.4,52.0,11.4,82.0,Active,2024-09-28,2025-03-01,14.3,True,2025-11-22
TWR_SEL_005,4G Tower Kajang,Selangor,4G,2024-11-01,69.0,56.2,12.8,81.4,Active,2024-08-04,2025-03-10,22.4,True,2026-07-26
TWR_PNG_001,5G Tower Georgetown,Penang,5G,2024-11-01,147.3,100.7,46.6,68.4,Active,2024-08-14,2025-02-16,17.5,False,2025-08-27
TWR_PNG_002,4G Tower Bayan Lepas,Penang,4G,2024-11-01,68.6,55.7,12.9,81.2,Degraded,2024-08-25,2025-04-19,23.6,True,2025-09-20
TWR_PNG_003,4G Tower Butterworth,Penang,4G,2024-11-01,62.1,52.3,9.8,84.2,Active,2024-09-20,2025-02-23,22.9,True,2025-11-25
TWR_JHR_001,5G Tower Johor Bahru Central,Johor,5G,2024-11-01,110.2,90.2,20.0,81.9,Degraded,2024-09-03,2025-04-25,24.8,True,2026-01-30
TWR_JHR_002,4G Tower Iskandar Puteri,Johor,4G,2024-11-01,63.6,46.7,16.9,73.4,Active,2024-08-27,2025-02-25,23.1,False,2026-06-27
TWR_JHR_003,4G Tower Skudai,Johor,4G,2024-11-01,68.2,58.2,10.0,85.3,Active,2024-09-07,2025-02-15,13.2,True,2026-01-05
TWR_SBH_001,4G Tower Kota Kinabalu,Sabah,4G,2024-11-01,56.2,43.6,12.6,77.6,Active,2024-09-25,2025-03-04,14.3,False,2026-01-27
TWR_SBH_002,4G Tower Sandakan,Sabah,4G,2024-11-01,68.1,57.4,10.7,84.3,Active,2024-09-27,2025-04-17,15.6,True,2026-01-10
TWR_SWK_001,4G Tower Kuching,Sarawak,4G,2024-11-01,61.6,52.1,9.5,84.6,Active,2024-09-21,2025-03-20,15.5,True,2026-06-30
TWR_SWK_002,4G Tower Miri,Sarawak,4G,2024-11-01,51.4,44.4,7.0,86.4,Active,2024-08-14,2025-04-23,20.0,True,2025-11-28
TWR_MLK_001,4G Tower Melaka Central,Melaka,4G,2024-11-01,64.2,57.1,7.0,89.0,Active,2024-08-11,2025-03-18,22.1,True,2026-02-13
TWR_IPH_001,4G Tower Ipoh,Perak,4G,2024-11-01,51.7,38.5,13.3,74.4,Degraded,2024-09-01,2025-03-15,18.1,False,2025-05-05
TWR_IPH_002,4G Tower Taiping,Perak,4G,2024-11-01,59.9,50.8,9.1,84.7,Active,2024-08-29,2025-04-24,21.6,True,2026-01-17
TWR_KL_001,5G Tower KLCC,Kuala Lumpur,5G,2024-11-02,118.1,86.0,32.1,72.8,Active,2024-08-16,2025-03-04,13.1,False,2025-07-22
TWR_KL_002,5G Tower Bukit Bintang,Kuala Lumpur,5G,2024-11-02,116.7,76.9,39.8,65.9,Maintenance,2024-08-17,2025-02-11,20.1,False,2025-07-13
TWR_KL_003,5G Tower Mont Kiara,Kuala Lumpur,5G,2024-11-02,125.3,84.1,41.3,67.1,Active,2024-08-10,2025-02-07,12.4,False,2026-01-28
TWR_KL_004,5G Tower Cheras,Kuala Lumpur,5G,2024-11-02,133.8,105.3,28.5,78.7,Active,2024-09-12,2025-02-11,17.7,False,2026-07-10
TWR_KL_005,4G Tower Ampang,Kuala Lumpur,4G,2024-11-02,59.1,41.5,17.6,70.2,Active,2024-09-17,2025-02-01,20.7,False,2026-07-03
TWR_SEL_001,5G Tower Shah Alam,Selangor,5G,2024-11-02,149.5,118.8,30.7,79.5,Active,2024-08-27,2025-03-06,23.8,False,2026-04-23
TWR_SEL_002,5G Tower Petaling Jaya,Selangor,5G,2024-11-02,147.7,91.5,56.3,61.9,Active,2024-09-20,2025-04-07,15.0,False,2026-02-24
TWR_SEL_003,5G Tower Subang Jaya,Selangor,5G,2024-11-02,132.2,109.7,22.5,83.0,Active,2024-08-25,2025-03-20,12.1,True,2025-11-30
TWR_SEL_004,4G Tower Klang,Selangor,4G,2024-11-02,57.4,44.4,13.0,77.3,Active,2024-10-03,2025-04-12,21.3,False,2025-10-14
TWR_SEL_005,4G Tower Kajang,Selangor,4G,2024-11-02,65.1,50.1,15.0,77.0,Active,2024-09-04,2025-04-10,13.1,False,2025-09-25
TWR_PNG_001,5G Tower Georgetown,Penang,5G,2024-11-02,142.5,109.2,33.3,76.6,Active,2024-08-22,2025-04-02,22.4,False,2026-08-21
TWR_PNG_002,4G Tower Bayan Lepas,Penang,4G,2024-11-02,54.7,47.4,7.3,86.6,Active,2024-08-30,2025-03-05,17.6,True,2026-10-04
TWR_PNG_003,4G Tower Butterworth,Penang,4G,2024-11-02,53.2,43.9,9.4,82.4,Active,2024-08-13,2025-02-28,18.5,True,2025-09-26
TWR_JHR_001,5G Tower Johor Bahru Central,Johor,5G,2024-11-02,136.1,109.6,26.5,80.5,Active,2024-09-19,2025-04-14,19.7,True,2025-07-02
TWR_JHR_002,4G Tower Iskandar Puteri,Johor,4G,2024-11-02,50.5,40.6,9.9,80.4,Active,2024-09-11,2025-03-19,12.9,True,2026-07-05
TWR_JHR_003,4G Tower Skudai,Johor,4G,2024-11-02,68.4,50.2,18.2,73.4,Active,2024-09-11,2025-04-07,21.9,False,2026-08-04
TWR_SBH_001,4G Tower Kota Kinabalu,Sabah,4G,2024-11-02,63.4,45.7,17.6,72.2,Active,2024-08-16,2025-02-16,18.9,False,2026-10-17
TWR_SBH_002,4G Tower Sandakan,Sabah,4G,2024-11-02,50.1,36.2,13.9,72.2,Degraded,2024-08-13,2025-04-13,17.0,False,2026-04-16
TWR_SWK_001,4G Tower Kuching,Sarawak,4G,2024-11-02,54.1,38.6,15.5,71.3,Degraded,2024-08-22,2025-01-31,22.5,False,2026-04-18
TWR_SWK_002,4G Tower Miri,Sarawak,4G,2024-11-02,52.1,46.6,5.5,89.5,Active,2024-08-22,2025-03-01,13.4,True,2026-07-03
TWR_MLK_001,4G Tower Melaka Central,Melaka,4G,2024-11-02,67.0,50.3,16.8,75.0,Degraded,2024-09-29,2025-03-29,21.3,False,2026-01-06
TWR_IPH_001,4G Tower Ipoh,Perak,4G,2024-11-02,56.1,41.1,15.0,73.2,Active,2024-09-14,2025-04-02,14.5,False,2025-11-03
TWR_IPH_002,4G Tower Taiping,Perak,4G,2024-11-02,57.2,46.9,10.4,81.9,Active,2024-08-12,2025-02-27,20.9,True,2026-09-28
TWR_KL_001,5G Tower KLCC,Kuala Lumpur,5G,2024-11-03,110.1,79.9,30.2,72.5,Active,2024-09-19,2025-02-23,16.6,False,2026-05-16
TWR_KL_002,5G Tower Bukit Bintang,Kuala Lumpur,5G,2024-11-03,118.5,89.1,29.4,75.2,Active,2024-08-21,2025-04-02,21.7,False,2026-02-21
TWR_KL_003,5G Tower Mont Kiara,Kuala Lumpur,5G,2024-11-03,123.7,90.2,33.5,72.9,Active,2024-08-29,2025-03-26,22.8,False,2026-01-31
TWR_KL_004,5G Tower Cheras,Kuala Lumpur,5G,2024-11-03,108.4,69.4,39.0,64.0,Active,2024-09-20,2025-03-16,19.8,False,2025-07-21
TWR_KL_005,4G Tower Ampang,Kuala Lumpur,4G,2024-11-03,58.8,42.3,16.5,71.9,Active,2024-09-24,2025-02-23,20.8,False,2025-05-26
TWR_SEL_001,5G Tower Shah Alam,Selangor,5G,2024-11-03,128.7,103.4,25.3,80.3,Active,2024-08-17,2025-02-05,17.5,True,2026-05-26
TWR_SEL_002,5G Tower Petaling Jaya,Selangor,5G,2024-11-03,116.5,76.4,40.1,65.6,Active,2024-08-14,2025-04-05,22.0,False,2026-01-20
TWR_SEL_003,5G Tower Subang Jaya,Selangor,5G,2024-11-03,132.2,85.4,46.8,64.6,Active,2024-08-17,2025-03-12,19.9,False,2025-07-07
TWR_SEL_004,4G Tower Klang,Selangor,4G,2024-11-03,68.8,60.7,8.1,88.2,Active,2024-09-18,2025-03-16,13.8,True,2025-09-23
TWR_SEL_005,4G Tower Kajang,Selangor,4G,2024-11-03,50.3,40.0,10.4,79.4,Active,2024-09-04,2025-04-13,19.5,False,2026-06-18
TWR_PNG_001,5G Tower Georgetown,Penang,5G,2024-11-03,123.8,89.7,34.2,72.4,Active,2024-09-22,2025-03-26,14.3,False,2025-10-08
