customer_id,customer_segment,region,signup_date,plan_type,monthly_revenue,tenure_months,is_churned,churn_date,churn_reason
CUST_000001,Prepaid,Johor,2024-01-13,NovaConnect Prepaid Plus,30,9,False,,
CUST_000002,Prepaid,Penang,2024-09-26,NovaConnect Prepaid Plus,30,1,True,2024-06-12,Network Issues - Switched to Maxis
CUST_000003,Prepaid,Sabah,2023-04-10,NovaConnect Prepaid Plus,30,19,False,,
CUST_000004,Prepaid,Penang,2023-08-04,NovaConnect Prepaid Plus,30,15,False,,
CUST_000005,Business,Johor,2023-02-01,NovaConnect Business Pro,299,21,False,,
CUST_000006,Prepaid,Melaka,2024-01-31,NovaConnect Prepaid Plus,30,9,False,,
CUST_000007,Business,Sarawak,2020-11-10,NovaConnect Business Pro,299,48,False,,
CUST_000008,Postpaid,Perak,2022-03-29,NovaConnect 5G Postpaid 80,98,31,False,,
CUST_000009,Postpaid,Penang,2020-09-26,NovaConnect Postpaid 60,78,49,False,,
CUST_000010,Postpaid,Sabah,2024-05-11,NovaConnect 5G Postpaid 80,98,5,False,,
CUST_000011,Postpaid,Perak,2020-07-25,NovaConnect Postpaid 60,78,52,False,,
CUST_000012,Postpaid,Sarawak,2021-10-31,NovaConnect Postpaid 60,78,36,False,,
CUST_000013,Business,Sabah,2023-10-22,NovaConnect Business Elite,399,12,False,,
CUST_000014,Enterprise,Melaka,2022-08-12,NovaConnect Enterprise 500,2499,27,False,,
CUST_000015,Postpaid,Kuala Lumpur,2023-12-21,NovaConnect 5G Postpaid 100,128,10,False,,
CUST_000016,Prepaid,Perak,2024-05-16,NovaConnect Prepaid Plus,30,5,False,,
CUST_000017,Prepaid,Perak,2021-05-31,NovaConnect Prepaid Basic,20,41,True,2024-06-27,Better Offer - Switched to Maxis
CUST_000018,Postpaid,Penang,2021-02-14,NovaConnect Postpaid 40,58,45,False,,
CUST_000019,Business,Selangor,2024-03-06,NovaConnect Business Pro,299,8,False,,
CUST_000020,Business,Penang,2023-05-18,NovaConnect Business Elite,399,17,False,,
CUST_000021,Business,Perak,2020-09-21,NovaConnect Business Pro,299,50,False,,
CUST_000022,Prepaid,Kuala Lumpur,2020-11-08,NovaConnect Prepaid Basic,20,48,False,,
CUST_000023,Prepaid,Penang,2022-08-21,NovaConnect Prepaid Plus,30,26,True,2024-10-09,Better Offer - Switched to Maxis
CUST_000024,Postpaid,Sarawak,2022-04-26,NovaConnect 5G Postpaid 100,128,30,False,,
