ITEM_NAME,BRAND,CATEGORY,SUBCATEGORY,DISCIPLINE,SKILL_LEVEL,GENDER,PRICE,PRODUCT_TYPE,FLEX_RATING,DESCRIPTION
Alpine Apex 170,Black Crows,Equipment,Skis,Alpine,Advanced,Male,1001.35,Ski,Medium-Soft,Versatile alpine ski built for groomed runs. paulownia wood construction delivers playful turn initiation. Titanal reinforcement for edge hold.
All-Mountain Summit 170,Ridgeline,Equipment,Skis,All-Mountain,Beginner,Unisex,936.41,Ski,Very Stiff,Lightweight yet powerful all-mountain ski. balsa-carbon layup with extruded base for edge-to-edge precision. Ideal for mixed snow. Titanal reinforcement for edge hold.
Freeride Rocket 162,Ridgeline,Equipment,Skis,Freeride,Intermediate,Female,733.95,Ski,Soft,Lightweight yet powerful freeride ski. beech hardwood layup with waxed sintered base for playful turn initiation. Ideal for groomed runs. Pre-waxed race base.
Touring Apex 170,Ridgeline,Equipment,Skis,Touring,Advanced,Unisex,501.17,Ski,Very Stiff,Touring ski designed for advanced skiers. 76mm underfoot provides effortless carving in steep couloirs. Carbon stringers reduce weight.
Touring Zenith 176,Ridgeline,Equipment,Skis,Touring,Intermediate,Female,951.63,Ski,Medium-Soft,Versatile touring ski built for variable conditions. paulownia wood construction delivers float in deep snow. 3D cap construction for light weight.
Touring Pro 176,Ridgeline,Equipment,Skis,Touring,Intermediate,Unisex,620.79,Ski,Soft,Versatile touring ski built for off-piste powder. beech hardwood construction delivers responsive flex. Full twin-tip for switch riding.
Park Summit 172,Salomon,Equipment,Skis,Park,Expert,Male,633.97,Ski,Medium-Soft,Versatile park ski built for hard-pack ice. bamboo-carbon construction delivers float in deep snow. Early rise tip floats in powder.
Alpine Apex 166,Black Crows,Equipment,Skis,Alpine,Beginner,Male,568.99,Ski,Very Stiff,Alpine ski designed for beginner skiers. 76mm underfoot provides confident grip in hard-pack ice. ABS sidewall for direct power transfer.
Alpine Rocket 182,Ortovox,Equipment,Skis,Alpine,Beginner,Unisex,1025.45,Ski,Medium,Alpine ski designed for beginner skiers. 96mm underfoot provides stability at speed in variable conditions. Pre-waxed race base.
Freeride Charger 172,Ortovox,Equipment,Skis,Freeride,Beginner,Unisex,829.75,Ski,Very Stiff,Freeride ski designed for beginner skiers. 80mm underfoot provides stability at speed in backcountry bowls. 3D cap construction for light weight.
Alpine Blaze 170,Ridgeline,Equipment,Skis,Alpine,Advanced,Female,629.65,Ski,Soft,Versatile alpine ski built for spring slush. paulownia wood construction delivers edge-to-edge precision. Carbon stringers reduce weight.
All-Mountain Charger 182,Salomon,Equipment,Skis,All-Mountain,Intermediate,Female,766.35,Ski,Stiff,High-performance all-mountain ski with carbon fiber core and sintered graphite base. 96mm waist for deep powder days. Pre-waxed race base.
Alpine Charger 184,Ridgeline,Equipment,Skis,Alpine,Advanced,Male,621.59,Ski,Stiff,High-performance alpine ski with poplar wood core and sintered base. 116mm waist for groomed runs. Full twin-tip for switch riding.
Alpine Carver 186,Volkl,Equipment,Skis,Alpine,Intermediate,Female,609.68,Ski,Medium-Stiff,High-performance alpine ski with fiberglass composite core and extruded base. 100mm waist for hard-pack ice. Full twin-tip for switch riding.
Touring Apex 180,Salomon,Equipment,Skis,Touring,Expert,Female,489.63,Ski,Very Stiff,Versatile touring ski built for deep powder days. paulownia wood construction delivers float in deep snow. Carbon stringers reduce weight.
Park Vertex 166,Ridgeline,Equipment,Skis,Park,Intermediate,Female,795.97,Ski,Medium,High-performance park ski with paulownia wood core and high-density sintered base. 104mm waist for off-piste powder. Titanal reinforcement for edge hold.
Freeride Drift 180,Ortovox,Equipment,Skis,Freeride,Intermediate,Female,609.31,Ski,Medium-Stiff,Lightweight yet powerful freeride ski. poplar wood layup with extruded base for dampened ride. Ideal for groomed runs. ABS sidewall for direct power transfer.
All-Mountain Pro 170,Ridgeline,Equipment,Skis,All-Mountain,Expert,Male,612.28,Ski,Medium,Versatile all-mountain ski built for groomed runs. poplar wood construction delivers confident grip. Multilayer wood core for torsional stiffness.
All-Mountain Vertex 162,Ridgeline,Equipment,Skis,All-Mountain,Beginner,Male,499.97,Ski,Stiff,High-performance all-mountain ski with carbon fiber core and high-density sintered base. 76mm waist for steep couloirs. Multilayer wood core for torsional stiffness.
All-Mountain Charger 170,Ridgeline,Equipment,Skis,All-Mountain,Advanced,Female,986.14,Ski,Very Stiff,High-performance all-mountain ski with bamboo-carbon core and high-density sintered base. 80mm waist for mixed snow. Pre-waxed race base.
All-Mountain Carver 182,Ridgeline,Equipment,Skis,All-Mountain,Beginner,Male,828.41,Ski,Medium-Soft,Lightweight yet powerful all-mountain ski. beech hardwood layup with sintered base for edge-to-edge precision. Ideal for deep powder days. Metal laminate for high-speed dampening.
Touring Tour 182,Volkl,Equipment,Skis,Touring,Beginner,Unisex,1147.82,Ski,Medium,Touring ski designed for beginner skiers. 76mm underfoot provides edge-to-edge precision in off-piste powder. 3D cap construction for light weight.
Freeride Summit 186,Ridgeline,Equipment,Skis,Freeride,Advanced,Male,1088.68,Ski,Very Stiff,High-performance freeride ski with fiberglass composite core and sintered graphite base. 72mm waist for off-piste powder. ABS sidewall for direct power transfer.
Freeride Drift 188,Ridgeline,Equipment,Skis,Freeride,Advanced,Male,862.76,Ski,Medium-Stiff,Freeride ski designed for advanced skiers. 76mm underfoot provides stability at speed in variable conditions. 3D cap construction for light weight.
