date,category,campaign_name,impressions,clicks
2025-01-05,UltraRunner Shoes,New Year Fitness Push,14230,412
2025-01-05,HydraBottle 2L,New Year Fitness Push,8920,267
2025-01-05,PowerYoga Mat,New Year Fitness Push,11540,389
2025-01-05,Cyclone Helmet,New Year Fitness Push,6780,178
2025-01-05,Fitness Wear,New Year Fitness Push,17650,523
2025-01-12,UltraRunner Shoes,New Year Fitness Push,15890,478
2025-01-12,HydraBottle 2L,New Year Fitness Push,9340,291
2025-01-12,PowerYoga Mat,New Year Fitness Push,10870,342
2025-01-12,Cyclone Helmet,New Year Fitness Push,7120,195
2025-01-12,Fitness Wear,New Year Fitness Push,16430,487
2025-01-19,UltraRunner Shoes,Gear Up Challenge,16450,502
2025-01-19,HydraBottle 2L,Gear Up Challenge,10210,315
2025-01-19,PowerYoga Mat,Gear Up Challenge,11230,367
2025-01-19,Cyclone Helmet,Gear Up Challenge,8340,224
2025-01-19,Fitness Wear,Gear Up Challenge,18920,561
2025-02-02,UltraRunner Shoes,Gear Up Challenge,13780,398
2025-02-02,HydraBottle 2L,Gear Up Challenge,9870,289
2025-02-02,PowerYoga Mat,Gear Up Challenge,12640,421
2025-02-02,Cyclone Helmet,Gear Up Challenge,7560,198
2025-02-02,Fitness Wear,Gear Up Challenge,19340,587
2025-02-16,UltraRunner Shoes,Spring Into Action,14120,415
2025-02-16,HydraBottle 2L,Spring Into Action,11430,348
2025-02-16,PowerYoga Mat,Spring Into Action,13210,445
2025-02-16,Cyclone Helmet,Spring Into Action,8790,237
2025-02-16,Fitness Wear,Spring Into Action,20150,612
2025-03-01,UltraRunner Shoes,Spring Into Action,17890,534
2025-03-01,HydraBottle 2L,Spring Into Action,12670,392
2025-03-01,PowerYoga Mat,Spring Into Action,14530,468
2025-03-01,Cyclone Helmet,Spring Into Action,9450,263
2025-03-01,Fitness Wear,Spring Into Action,22340,678
2025-03-15,UltraRunner Shoes,Spring Into Action,18340,556
2025-03-15,HydraBottle 2L,Spring Into Action,13890,423
2025-03-15,PowerYoga Mat,Spring Into Action,15120,489
2025-03-15,Cyclone Helmet,Spring Into Action,10230,287
2025-03-15,Fitness Wear,Spring Into Action,21870,652
2025-04-01,UltraRunner Shoes,Trail Blazer Campaign,19670,589
2025-04-01,HydraBottle 2L,Trail Blazer Campaign,15430,478
2025-04-01,PowerYoga Mat,Trail Blazer Campaign,16780,541
2025-04-01,Cyclone Helmet,Trail Blazer Campaign,11340,312
2025-04-01,Fitness Wear,Trail Blazer Campaign,23450,714
2025-04-15,UltraRunner Shoes,Trail Blazer Campaign,20120,614
2025-04-15,HydraBottle 2L,Trail Blazer Campaign,14870,452
2025-04-15,PowerYoga Mat,Trail Blazer Campaign,17230,558
2025-04-15,Cyclone Helmet,Trail Blazer Campaign,12560,349
2025-04-15,Fitness Wear,Trail Blazer Campaign,24120,738
2025-05-01,UltraRunner Shoes,Beat the Heat,21450,643
2025-05-01,HydraBottle 2L,Beat the Heat,16780,521
2025-05-01,PowerYoga Mat,Beat the Heat,18340,592
2025-05-01,Cyclone Helmet,Beat the Heat,13210,368
2025-05-01,Fitness Wear,Beat the Heat,25670,782
2025-05-15,UltraRunner Shoes,Beat the Heat,22130,671
2025-05-15,HydraBottle 2L,Beat the Heat,17450,543
2025-05-15,PowerYoga Mat,Beat the Heat,19120,618
2025-05-15,Cyclone Helmet,Beat the Heat,14560,405
